pub_date,title,venue,excerpt,citation,url_slug,paper_url,pub_type,thumb
2006-10-01,A Importância de Avaliar a Usabilidade dos Jogos: A Experiência do Virtual Team,V BRAZILIAN SYMPOSIUM ON COMPUTER GAMES AND DIGITAL ENTERTAINMENT (SBGAMES’06),(In portuguese),"Gurgel, I., Arcoverde, R.L., Almeida, E.W., <b>Sultanum, N.B.</b> and Tedesco, P., 2006. <b>A importância de avaliar a usabilidade dos jogos: a experiência do Virtual Team</b>. <i>Anais do SBGames, Recife</i>.",2006-vteam,/files/pubs/2006-vteam.pdf,Full Paper,vteam.png
2008-06-01,SketchSim: Interactive Simulation of Ink Brushstrokes ,Workshop of Undergraduate Work (WUW) at SIBGRAPI’08,"The simulation of ink and brushes, one of these instruments, is the object of study of this paper. Several techniques are discussed and implemented in an interactive artistic tool, called SketchSim. Artists have used this tool as part of a brief qualitative analysis, which is also discussed in this paper. ","<b>Sultanum, N.</b> and Melo, S.B., 2008. <b>SketchSim: Interactive Simulation of Ink Brushstrokes</b>. In <i>Workshop of Undergraduate Work at SIBGRAPI’08</i>.",2008-sketchsim,/files/pubs/2008-sketchsim.pdf,Poster,sketchsim.png
2010-10-01,Touching the depths: introducing tabletop interaction to reservoir engineering,ACM International Conference on Interactive Tabletops and Surfaces (ITS'10),"Modern reservoir engineering is dependent on 3D visualization tools. However, tools used in this domain are not fully aligned with the reservoir engineer's interactive needs, and do not address fundamental user issues, such as collaboration. We base our work on a set of observations of reservoir engineers, and their unique interactive tasks and needs. We present insightful knowledge of the domain, and follow with a prototype for an interactive reservoir visualization system, on the Microsoft Surface.","<b>Sultanum, N.</b>, Sharlin, E., Sousa, M.C., Miranda-Filho, D.N. and Eastick, R., 2010, November. <b>Touching the depths: introducing tabletop interaction to reservoir engineering</b>. In <i>ACM International Conference on Interactive Tabletops and Surfaces</i> (pp. 105-108). ACM.",2010-depths,/files/pubs/2010-depths.pdf,Short Paper,depths.png
2011-05-01,Snakey: A tangible user interface for well path planning in the context of reservoir engineering,"Technical Report, University of Calgary.","We present Snakey, a tangible user interface (TUI) designed for the field of reservoir engineering. The Snakey interface focuses on intuitive manipulation and interaction with 3D curves common to underground well path planning.","Harris, J., Young, J., <b>Sultanum, N.</b>, Lapides, P., Sharlin, E. and Costa Sousa, M., 2011. <b>Snakey: A tangible user interface for well path planning in the context of reservoir engineering</b>. <i>Technical Report 2011-1003-15</i>, University of Calgary.",2011-snakey-tech,/files/pubs/2011-snakey-tech.pdf,Technical Report,snakey-tech.png
2011-09-01,Designing snakey: a tangible user interface supporting well path planning,IFIP Conference on Human-Computer Interaction (INTERACT’11),"We present our ongoing design of Snakey, a tangible user interface (TUI) dedicated to the field of reservoir geosciences and engineering. Our design of Snakey emphasizes intuitive manipulation and interaction with 3D curves, common to underground well path exploration and planning. Snakey is not designed to replace the traditional CAD reservoir well path planning tools, but rather to augment them with tangible and collaborative interaction, facilitating spatial exploration during the multi-stage planning processes involved in well path design.","Harris, J., Young, J., <b>Sultanum, N.</b>, Lapides, P., Sharlin, E. and Sousa, M.C., 2011, September. <b>Designing snakey: a tangible user interface supporting well path planning</b>. In <i>IFIP Conference on Human-Computer Interaction</i> (pp. 45-53). Springer, Berlin, Heidelberg.",2011-snakey-interact,/files/pubs/2011-snakey-interact.pdf,Short Paper,snakey-interact.png
2011-10-01,"Point it, Split it, Peel it, View it: techniques for interactive reservoir visualization on tabletops",ACM International Conference on Interactive Tabletops and Surfaces (ITS’11),"In this paper, we present a collection of 3D reservoir visualization techniques on tabletop interfaces applied to the domain of reservoir engineering.","<b>Sultanum, N.</b>, Motta, M., Cardonha, C. and Herrmann, R., 2014, April. <b>Watchboard: curated microblogging for the enterprise</b>. In <i>CHI'14 Extended Abstracts on Human Factors in Computing Systems</i> (pp. 2107-2112). ACM.",2011-point-it,/files/pubs/2011-point-it.pdf,Full Paper,point-it.png
2012-05-01,Seamless mixed reality tracking in tabletop reservoir engineering interaction,Proceedings of the International Working Conference on Advanced Visual Interfaces (AVI’12),"In this paper we present a novel mixed reality tracking system for collaborative tabletop applications that uses decorative markers and embedded application markers to create a continuous and seamless tracking space for mobile devices. Users can view and interact with mixed reality datasets on their mobile device, such as a tablet or smartphone, from distances both far and very near to the tabletop.","Lapides, P., <b>Sultanum, N.</b>, Sharlin, E. and Sousa, M.C., 2012, May. <b>Seamless mixed reality tracking in tabletop reservoir engineering interaction</b>. In <i>Proceedings of the International Working Conference on Advanced Visual Interfaces</i> (pp. 725-728). ACM.",2012-seamless,/files/pubs/2012-seamless.pdf,Poster,seamless.png
2012-10-01,Re-collision: a collision reconstruction forensics tabletop interface,ACM International Conference on Interactive Tabletops and Surfaces (ITS’12),"In this paper we present the design, implementation and preliminary evaluation of Re-Collision, a prototype collision reconstruction tabletop interface. Re-Collision was developed through a participatory design process involving expert users from the Calgary Police Forensics Team and Collision Reconstruction Team. ","Tozser, M., <b>Sultanum, N.</b>, Sharlin, E., Rutherford, K. and Foster, C., 2012, November. <b>Re-collision: a collision reconstruction forensics tabletop interface</b>. In <i>Proceedings of the 2012 ACM international conference on Interactive tabletops and surfaces</i> (pp. 81-84). ACM.",2012-recollision,/files/pubs/2012-recollision.pdf,Short Paper,recollision.png
2013-10-01,Navigating and annotating 3D geological outcrops through multi-touch interaction,ACM International Conference on Interactive Tabletops and Surfaces (ITS’13),"In this work we present our initial efforts to visually explore and annotate geological outcrops through multitouch, including a 3D navigation technique and horizon surface creation and edition.","<b>Sultanum, N.</b>, Vital Brazil, E. and Costa Sousa, M., 2013, October. <b>Navigating and annotating 3D geological outcrops through multi-touch interaction</b>. In <i>Proceedings of the 2013 ACM international conference on Interactive tabletops and surfaces</i> (pp. 345-348). ACM.",2013-outcrop,/files/pubs/2013-outcrop.pdf,Poster,outcrop.png
2014-05-01,Watchboard: curated microblogging for the enterprise,CHI'14 Extended Abstracts on Human Factors in Computing Systems,"Traditional microblogging in the enterprise is known to increase work environment awareness, but is also coupled with information overload and privacy issues. We address these challenges by introducing the concept of curated microblogging, which proposes the addition of social curation and access control to such platforms. We also present Watchboard, a prototype tool incorporating these ideas, and discuss highlights of a preliminary user study delineating crucial factors of the proposed concept.","<b>Sultanum, N.</b>, Motta, M., Cardonha, C. and Herrmann, R., 2014, April. <b>Watchboard: curated microblogging for the enterprise</b>. In <i>CHI'14 Extended Abstracts on Human Factors in Computing Systems (pp. 2107-2112) </i>. ACM.",2014-watchboard,/files/pubs/2014-watchboard.pdf,Poster,watchboard.png
